"","idealpoint","polity","polity2","democ","autoc","unreg","physint","speech","new_empinx","wecon","wopol","wosoc","elecsd","gdp.pc.wdi","gdp.pc.un","pop.wdi","amnesty","statedept","milper","cinc","domestic9"
"Philippines",-0.5900711,8,8,8,0,142,0,1,11,2,2,2,1,1039.70179564153,1043.45027225404,77932247,4,4,106,0.005919,3500
"Poland",1.201228,9,9,9,0,150,6,1,13,1,2,2,2,4492.72760355938,4465.9583779699,38258629,2,1,217,0.0081976,0
"Portugal",1.084983,10,10,10,0,150,6,2,14,2,2,3,2,11502.3968126428,11381.4521265877,10289898,1,1,45,0.0019729,0
"Paraguay",0.1074271,7,7,7,0,419,4,2,13,1,2,1,2,1545.62554809175,1326.17644591617,5302703,3,3,20,0.0005237,2500
"Romania",1.149616,8,8,8,0,150,5,1,10,1,2,1,1,1668.16273119678,1666.27255974953,22442971,3,2,207,0.0043928,0
"Russia",0.2396279,6,6,6,0,150,2,1,6,1,1,1,2,1771.58660190996,1767.79246395752,146596557,5,4,1004,0.0495242,3437
"Rwanda",-0.4234862,-4,-4,0,4,2,2,1,5,1,2,1,0,216.275894383596,211.015629262131,8021875,4,4,70,0.0008166,250
"Saudi Arabia",-0.8605581,-10,-10,0,10,142,5,1,1,1,0,0,0,8808.87536666471,9354.46718198135,21392273,3,3,202,0.0101968,0
"Senegal",-0.4020568,8,8,8,0,2,4,1,11,1,2,1,2,474.577124541493,474.524157758891,9860578,3,2,9,0.0005907,1875
"El Salvador",-0.2634688,7,7,7,0,419,6,2,13,1,2,1,2,2259.88826938682,2204.17084396608,5811836,3,3,17,0.0005767,0
"Slovakia",1.146912,9,9,9,0,150,6,1,11,1,2,2,1,5402.9297536132,3786.68105247009,5388720,2,1,39,0.0017061,0
"Slovenia",1.135583,10,10,10,0,150,7,1,12,2,2,2,1,10227.7348765409,10043.4142165586,1988925,2,1,9,0.0003505,0
"Sweden",1.042949,10,10,10,0,150,7,2,14,3,3,3,2,29283.0050461572,27868.6935560594,8872109,1,1,53,0.0042686,0
"Syria",-1.662949,-7,-7,0,7,142,2,0,2,2,2,1,0,1181.71920185675,1201.23801440336,16354050,3,3,316,0.0042235,0
"Chad",-0.998895,-2,-2,1,3,2,3,1,5,1,2,1,1,166.008015485376,166.887838408602,8343321,3,4,30,0.0005697,0
"Togo",-0.697627,-2,-2,1,3,2,5,0,5,2,2,1,0,265.501659718722,266.022995677748,4874735,3,2,7,0.0002582,0
"Thailand",-0.3624159,9,9,9,0,142,5,1,9,2,2,1,1,2016.04101466738,2023.4367014312,62693322,3,2,301,0.0072419,0
"Tajikistan",0.1310088,-1,-1,2,3,142,1,0,6,1,1,1,1,139.109141558996,139.131132493029,6186152,2,3,6,0.000354,0
"Turkmenistan",0.07148344,-9,-9,0,9,142,4,0,2,1,2,1,0,645.277101469676,1095.72285812711,4501419,2,3,14,0.0005612,0
"Trinidad and Tobago",-0.2658042,10,10,10,0,419,8,2,14,2,2,1,2,6431.00510537955,6431.00850813758,1267980,2,1,3,0.000407,312
"Tunisia",-0.9470493,-3,-3,1,4,2,3,0,5,2,2,1,0,2247.91299467086,2247.87914175633,9552500,3,3,35,0.000841,0
"Turkey",0.691463,7,7,8,1,142,2,0,5,1,2,1,1,4215.16241317218,4219.41949486245,63240157,4,3,610,0.0150037,3125
"Ukraine",0.4268632,6,6,6,0,150,4,1,7,1,2,1,1,635.712846663659,637.246116866631,49175848,2,3,304,0.0154471,0
"Uruguay",0.04193,10,10,10,0,419,7,1,12,1,2,1,2,6871.90388470479,6872.73180044533,3321242,2,2,24,0.0005142,0
"Uzbekistan",0.5795057,-9,-9,0,9,142,2,0,1,1,2,1,0,558.221143977787,554.178198125461,24650400,2,3,59,0.0026694,3125
"Venezuela",-0.5080071,7,7,7,0,419,4,1,9,2,2,1,1,4785.1530594156,4799.59896033967,24481477,2,3,56,0.0045129,812
"South Africa",0.04397686,9,9,9,0,2,4,1,13,2,3,1,2,3099.13161369597,2962.95747709884,4.4e+07,4,2,63,0.0068133,0
"Zambia",-0.480057,1,1,3,2,2,5,1,7,1,2,1,0,340.156549854271,320.61659795204,10585220,3,2,22,0.0007019,0
"Zimbabwe",-0.7527286,-3,-3,1,4,2,4,1,5,1,2,1,0,535.197421500081,603.707883424779,12499981,4,3,40,0.0010393,437
